ROUND 1 | Acc=0.7204 | Recall=0.6590 | Precision=0.7512 | F1=0.7021 | TP=4213 | FP=1395 | TN=4998 | FN=2180
ROUND 2 | Acc=0.7217 | Recall=0.6506 | Precision=0.7585 | F1=0.7004 | TP=4159 | FP=1324 | TN=5069 | FN=2234
ROUND 3 | Acc=0.7213 | Recall=0.6493 | Precision=0.7586 | F1=0.6997 | TP=4151 | FP=1321 | TN=5072 | FN=2242
ROUND 4 | Acc=0.7216 | Recall=0.6507 | Precision=0.7583 | F1=0.7004 | TP=4160 | FP=1326 | TN=5067 | FN=2233
ROUND 5 | Acc=0.7219 | Recall=0.6529 | Precision=0.7574 | F1=0.7013 | TP=4174 | FP=1337 | TN=5056 | FN=2219
ROUND 6 | Acc=0.7224 | Recall=0.6551 | Precision=0.7570 | F1=0.7024 | TP=4188 | FP=1344 | TN=5049 | FN=2205
ROUND 7 | Acc=0.7224 | Recall=0.6557 | Precision=0.7565 | F1=0.7025 | TP=4192 | FP=1349 | TN=5044 | FN=2201
ROUND 8 | Acc=0.7222 | Recall=0.6557 | Precision=0.7563 | F1=0.7024 | TP=4192 | FP=1351 | TN=5042 | FN=2201
ROUND 9 | Acc=0.7231 | Recall=0.6598 | Precision=0.7555 | F1=0.7044 | TP=4218 | FP=1365 | TN=5028 | FN=2175
ROUND 10 | Acc=0.7242 | Recall=0.6626 | Precision=0.7556 | F1=0.7061 | TP=4236 | FP=1370 | TN=5023 | FN=2157
ROUND 11 | Acc=0.7256 | Recall=0.6720 | Precision=0.7528 | F1=0.7101 | TP=4296 | FP=1411 | TN=4982 | FN=2097
ROUND 12 | Acc=0.7262 | Recall=0.6771 | Precision=0.7508 | F1=0.7121 | TP=4329 | FP=1437 | TN=4956 | FN=2064
ROUND 13 | Acc=0.7260 | Recall=0.6750 | Precision=0.7516 | F1=0.7112 | TP=4315 | FP=1426 | TN=4967 | FN=2078
ROUND 14 | Acc=0.7255 | Recall=0.6718 | Precision=0.7526 | F1=0.7099 | TP=4295 | FP=1412 | TN=4981 | FN=2098
ROUND 15 | Acc=0.7256 | Recall=0.6701 | Precision=0.7538 | F1=0.7095 | TP=4284 | FP=1399 | TN=4994 | FN=2109
ROUND 16 | Acc=0.7251 | Recall=0.6673 | Precision=0.7545 | F1=0.7082 | TP=4266 | FP=1388 | TN=5005 | FN=2127
ROUND 17 | Acc=0.7252 | Recall=0.6671 | Precision=0.7549 | F1=0.7083 | TP=4265 | FP=1385 | TN=5008 | FN=2128
ROUND 18 | Acc=0.7251 | Recall=0.6679 | Precision=0.7542 | F1=0.7084 | TP=4270 | FP=1392 | TN=5001 | FN=2123
ROUND 19 | Acc=0.7251 | Recall=0.6670 | Precision=0.7547 | F1=0.7081 | TP=4264 | FP=1386 | TN=5007 | FN=2129
ROUND 20 | Acc=0.7247 | Recall=0.6664 | Precision=0.7544 | F1=0.7076 | TP=4260 | FP=1387 | TN=5006 | FN=2133
