ROUND 1 | Acc=0.6598 | Recall=0.8771 | Precision=0.6114 | F1=0.7205 | TP=5607 | FP=3564 | TN=2829 | FN=786
ROUND 2 | Acc=0.6953 | Recall=0.8362 | Precision=0.6523 | F1=0.7329 | TP=5346 | FP=2849 | TN=3544 | FN=1047
ROUND 3 | Acc=0.6983 | Recall=0.8333 | Precision=0.6561 | F1=0.7342 | TP=5327 | FP=2792 | TN=3601 | FN=1066
ROUND 4 | Acc=0.6988 | Recall=0.8301 | Precision=0.6575 | F1=0.7338 | TP=5307 | FP=2765 | TN=3628 | FN=1086
ROUND 5 | Acc=0.6996 | Recall=0.8304 | Precision=0.6582 | F1=0.7344 | TP=5309 | FP=2757 | TN=3636 | FN=1084
ROUND 6 | Acc=0.6993 | Recall=0.8314 | Precision=0.6576 | F1=0.7344 | TP=5315 | FP=2767 | TN=3626 | FN=1078
ROUND 7 | Acc=0.7001 | Recall=0.8306 | Precision=0.6587 | F1=0.7347 | TP=5310 | FP=2751 | TN=3642 | FN=1083
ROUND 8 | Acc=0.7001 | Recall=0.8326 | Precision=0.6581 | F1=0.7352 | TP=5323 | FP=2765 | TN=3628 | FN=1070
ROUND 9 | Acc=0.6999 | Recall=0.8326 | Precision=0.6580 | F1=0.7351 | TP=5323 | FP=2767 | TN=3626 | FN=1070
ROUND 10 | Acc=0.5000 | Recall=0.0000 | Precision=0.0000 | F1=0.0000 | TP=0 | FP=0 | TN=6393 | FN=6393
ROUND 11 | Acc=0.5000 | Recall=0.0000 | Precision=0.0000 | F1=0.0000 | TP=0 | FP=0 | TN=6393 | FN=6393
ROUND 12 | Acc=0.5000 | Recall=0.0000 | Precision=0.0000 | F1=0.0000 | TP=0 | FP=0 | TN=6393 | FN=6393
ROUND 13 | Acc=0.5000 | Recall=0.0000 | Precision=0.0000 | F1=0.0000 | TP=0 | FP=0 | TN=6393 | FN=6393
ROUND 14 | Acc=0.5000 | Recall=0.0000 | Precision=0.0000 | F1=0.0000 | TP=0 | FP=0 | TN=6393 | FN=6393
ROUND 15 | Acc=0.5000 | Recall=0.0000 | Precision=0.0000 | F1=0.0000 | TP=0 | FP=0 | TN=6393 | FN=6393
ROUND 16 | Acc=0.5000 | Recall=0.0000 | Precision=0.0000 | F1=0.0000 | TP=0 | FP=0 | TN=6393 | FN=6393
ROUND 17 | Acc=0.5000 | Recall=0.0000 | Precision=0.0000 | F1=0.0000 | TP=0 | FP=0 | TN=6393 | FN=6393
ROUND 18 | Acc=0.5000 | Recall=0.0000 | Precision=0.0000 | F1=0.0000 | TP=0 | FP=0 | TN=6393 | FN=6393
ROUND 19 | Acc=0.5000 | Recall=0.0000 | Precision=0.0000 | F1=0.0000 | TP=0 | FP=0 | TN=6393 | FN=6393
ROUND 20 | Acc=0.5000 | Recall=0.0000 | Precision=0.0000 | F1=0.0000 | TP=0 | FP=0 | TN=6393 | FN=6393
