ROUND 1 | Acc=0.7204 | Recall =0.6590 | Spec=0.7818 | HD=0.043516 | RTD=0.0000 | Flip=None | p0=0.5614 | p1=0.4386 | q0=0.5000 | q1=0.5000
ROUND 2 | Acc=0.7217 | Recall =0.6506 | Spec=0.7929 | HD=0.050487 | RTD=0.0000 | Flip=None | p0=0.5712 | p1=0.4288 | q0=0.5000 | q1=0.5000
ROUND 3 | Acc=0.7213 | Recall =0.6493 | Spec=0.7934 | HD=0.051101 | RTD=0.0000 | Flip=None | p0=0.5720 | p1=0.4280 | q0=0.5000 | q1=0.5000
ROUND 4 | Acc=0.7216 | Recall =0.6507 | Spec=0.7926 | HD=0.050319 | RTD=0.0000 | Flip=None | p0=0.5709 | p1=0.4291 | q0=0.5000 | q1=0.5000
ROUND 5 | Acc=0.7219 | Recall =0.6529 | Spec=0.7909 | HD=0.048924 | RTD=0.0000 | Flip=None | p0=0.5690 | p1=0.4310 | q0=0.5000 | q1=0.5000
ROUND 6 | Acc=0.7224 | Recall =0.6551 | Spec=0.7898 | HD=0.047752 | RTD=0.0024 | Flip=None | p0=0.5673 | p1=0.4327 | q0=0.5000 | q1=0.5000
ROUND 7 | Acc=0.7224 | Recall =0.6557 | Spec=0.7890 | HD=0.047250 | RTD=0.0017 | Flip=None | p0=0.5666 | p1=0.4334 | q0=0.5000 | q1=0.5000
ROUND 8 | Acc=0.7222 | Recall =0.6557 | Spec=0.7887 | HD=0.047139 | RTD=0.0008 | Flip=None | p0=0.5665 | p1=0.4335 | q0=0.5000 | q1=0.5000
ROUND 9 | Acc=0.7231 | Recall =0.6598 | Spec=0.7865 | HD=0.044909 | RTD=0.0025 | Flip=None | p0=0.5634 | p1=0.4366 | q0=0.5000 | q1=0.5000
ROUND 10 | Acc=0.7242 | Recall =0.6626 | Spec=0.7857 | HD=0.043627 | RTD=0.0028 | Flip=None | p0=0.5616 | p1=0.4384 | q0=0.5000 | q1=0.5000
ROUND 11 | Acc=0.7256 | Recall =0.6720 | Spec=0.7793 | HD=0.038007 | RTD=0.0072 | Flip=None | p0=0.5537 | p1=0.4463 | q0=0.5000 | q1=0.5000
ROUND 12 | Acc=0.7262 | Recall =0.6771 | Spec=0.7752 | HD=0.034727 | RTD=0.0075 | Flip=None | p0=0.5490 | p1=0.4510 | q0=0.5000 | q1=0.5000
ROUND 13 | Acc=0.7260 | Recall =0.6750 | Spec=0.7769 | HD=0.036117 | RTD=0.0027 | Flip=None | p0=0.5510 | p1=0.4490 | q0=0.5000 | q1=0.5000
ROUND 14 | Acc=0.7255 | Recall =0.6718 | Spec=0.7791 | HD=0.038007 | RTD=0.0017 | Flip=None | p0=0.5537 | p1=0.4463 | q0=0.5000 | q1=0.5000
ROUND 15 | Acc=0.7256 | Recall =0.6701 | Spec=0.7812 | HD=0.039341 | RTD=0.0031 | Flip=None | p0=0.5555 | p1=0.4445 | q0=0.5000 | q1=0.5000
ROUND 16 | Acc=0.7251 | Recall =0.6673 | Spec=0.7829 | HD=0.040955 | RTD=0.0031 | Flip=None | p0=0.5578 | p1=0.4422 | q0=0.5000 | q1=0.5000
ROUND 17 | Acc=0.7252 | Recall =0.6671 | Spec=0.7834 | HD=0.041178 | RTD=0.0017 | Flip=None | p0=0.5581 | p1=0.4419 | q0=0.5000 | q1=0.5000
ROUND 18 | Acc=0.7251 | Recall =0.6679 | Spec=0.7823 | HD=0.040510 | RTD=0.0000 | Flip=None | p0=0.5572 | p1=0.4428 | q0=0.5000 | q1=0.5000
ROUND 19 | Acc=0.7251 | Recall =0.6670 | Spec=0.7832 | HD=0.041178 | RTD=0.0003 | Flip=None | p0=0.5581 | p1=0.4419 | q0=0.5000 | q1=0.5000
ROUND 20 | Acc=0.7247 | Recall =0.6664 | Spec=0.7830 | HD=0.041345 | RTD=0.0004 | Flip=None | p0=0.5583 | p1=0.4417 | q0=0.5000 | q1=0.5000
